GPS Week,GPS TOW [s],Pos Mode,INS Mode,Hdg Mode,SVs Tracked,SVs Used,UTC Date,UTC Time,Lat [deg],Lon [deg],Alt Ellips [m],SOG [m/s],COG [deg],Hdg [deg],Horiz Vel [m/s],Vert Vel [m/s],Roll [deg],Pitch [deg],Yaw [deg],PDOP,HDOP,EHPE [m],EVPE [m],EHVE [m/s],EVVE [m/s],Baseline 2D [m],Baseline 3D [m],Corr. Age [s],Delta TOW [ms],2D Delta Pos [m],3D Delta Pos [m]
2111,414534.4,4,0,,,13,,,37.82866577,-122.2865161,-25.2727,0.02,261.469,,0.02,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.962,99587.03,1.4,100,0.012,0.041
2111,414534.5,4,0,,,13,,,37.82866575,-122.286516,-25.2552,0.02,218.157,,0.02,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.96,99587.028,1.5,100,0.008,0.019
2111,414534.6,4,0,,,13,,,37.82866572,-122.2865159,-25.3112,0.04,55.305,,0.02,-0.04,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.956,99587.024,1.6,100,0.012,0.057
2111,414534.7,4,0,,,13,,,37.82866567,-122.2865162,-25.3061,0.02,28.61,,0.01,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.95,99587.018,1.7,100,0.029,0.03
2111,414534.8,4,0,,,13,,,37.82866573,-122.2865162,-25.2911,0.02,206.565,,0,-0.02,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.957,99587.025,1.8,100,0.01,0.018
2111,414534.9,4,0,,,13,,,37.82866568,-122.2865162,-25.2844,0.01,63.435,,0.01,0.01,,,,1.5,0.8,0.07,0.18,0.07,0.16,99583.952,99587.02,0.9,100,0.005,0.008
2111,414535,4,0,,,13,,,37.82866557,-122.2865162,-25.2618,0.02,222.709,,0.02,-0.01,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.94,99587.008,1,100,0.012,0.026
2111,414535.1,4,0,,,13,,,37.82866579,-122.2865161,-25.2802,0.03,122.735,,0.02,0.02,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.964,99587.032,1.1,100,0.024,0.03
2111,414535.2,4,0,,,13,,,37.82866576,-122.2865162,-25.3178,0.02,47.49,,0.02,-0.02,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.96,99587.028,1.2,100,0.006,0.038
2111,414535.3,4,0,,,13,,,37.82866569,-122.286516,-25.3179,0.02,333.435,,0.01,0.02,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.952,99587.02,1.3,100,0.019,0.019
